,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.839438620251148,45.14382560738659,1366.4662524671876,1424.262487940333
4,2003,25.985742550408514,71.1295681577951,1207.421375611863,1457.1566309146751
5,2004,14.771505009122313,85.90107316691741,1117.0128683088174,1475.8551921266057
6,2005,14.188808628297902,100.08988179521532,1030.1707349107116,1493.8161450895402
7,2006,9.730194843915998,109.82007663913132,970.6173995489478,1506.1331462197984
8,2007,14.248915753070106,124.06899239220142,883.4073824839052,1524.170185996577
9,2008,6.82946210027405,130.89845449247548,841.6078858322646,1532.8152844511806
10,2009,8.071294972043239,138.9697494645187,792.2077922077922,1543.0323613841738
11,2010,12.650619473375025,151.62036893789374,714.7800946007876,1559.046192232531
12,2011,7.010201803335893,158.63057074122963,671.8743865811026,1567.9200806715703
13,2012,9.975767738113959,168.6063384793436,610.8180304516637,1580.5479411077229
14,2013,10.04292355793246,178.64926203727606,549.3506493506493,1593.2608109729647
15,2014,10.95091155714693,189.60017359442298,482.3259577652012,1607.123060618569
16,2015,11.387643213228186,200.98781680765117,412.62826453950663,1621.5381485565058
17,2016,10.525858976023178,211.51367578367436,348.2050932027383,1634.8623439076073
18,2017,8.936997894420912,220.45067367809526,293.5064935064935,1646.1752739087494
19,2018,5.7291274837671065,226.17980116186237,258.4415584415584,1653.4275099456338
20,2019,5.036124872021435,231.21592603388382,227.61812291552243,1659.8025062058161
21,2020,2.6793003408782057,233.89522637476202,211.21955389457653,1663.1941079009796
22,2021,3.066494139019667,236.96172051378167,192.45117805263664,1667.0758402179695
23,2022,2.3428492564247523,239.30456977020643,178.11184675371993,1670.0415441326707
