,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,25.678305315238248,42.67875756897742,1601.6608487100975,1107.951680473631
4,2003,22.507425801359933,65.18618337033735,1581.0658148505304,968.7960462873675
5,2004,13.449818613958854,78.6360019842962,1568.7587890625,885.6404666385135
6,2005,12.944784001253122,91.58078598554933,1556.9138865328434,805.6073414381302
7,2006,6.781042649222093,98.36182863477141,1550.709009786989,763.682498560737
8,2007,11.383461224469919,109.74528985924132,1540.2927688793834,693.3024924282659
9,2008,7.040002114171018,116.78529197341234,1533.8509357176358,649.7765926867276
10,2009,7.572629874406988,124.35792184781933,1526.9217306612336,602.9576396029289
11,2010,7.756334480662117,132.11425632848145,1519.8244298563716,555.0029044349425
12,2011,5.125414286337554,137.239670614819,1515.1345074412968,523.314239468221
13,2012,7.072341674477475,144.3120122892965,1508.6630825196833,479.588395403264
14,2013,12.631955089307196,156.94396737860367,1497.1044287192522,401.4893832381885
15,2014,9.906876334000271,166.85084371260393,1488.0393114845238,340.23859111164523
16,2015,12.669362197635913,179.52020591023984,1476.4464289513437,261.90830372529405
17,2016,5.356157136072999,184.87636304631283,1471.5453692500641,228.79303547340515
18,2017,3.9384154568770002,188.81477850318984,1467.9415897506547,204.44317399090775
19,2018,3.716738791661866,192.5315172948517,1464.5406516808368,181.4638627083557
20,2019,4.043001386053324,196.57451868090504,1460.8411726211295,156.46738257519897
21,2020,2.270484880895565,198.8450035618006,1458.7636043815464,142.42975933477246
22,2021,3.2209382347056086,202.06594179650622,1455.8163401058011,122.51581152568264
23,2022,3.296071355438101,205.36201315194432,1452.8003265568552,102.13734160037234
