,"label","Width [mm]","Cumulative Width [mm]","x [px]","y [px]"
3,2002,27.369219567743,43.9416659014358,1539.61000458184,1162.79571395844
4,2003,24.5385600268996,68.4802259283353,1537.61140302539,1019.25905137034
5,2004,16.3285889036026,84.808814831938,1536.28148215141,923.746064731074
6,2005,12.6471248022624,97.4559396342004,1535.25140690304,849.767555663634
7,2006,14.8907982630076,112.346737897208,1534.03859031753,762.664829032499
8,2007,16.3992899968627,128.746027894071,1532.70291102435,666.738281085771
9,2008,10.8209021191939,139.566930013265,1531.82157683873,603.44213923071
10,2009,9.16940719574246,148.736337209007,1531.07475259668,549.806306266372
11,2010,10.3293265297535,159.065663738761,1530.23345595757,489.385602882057
12,2011,11.2556744136823,170.321338152443,1529.3167107053,423.546289623776
13,2012,11.4228503296792,181.744188482122,1528.38634941178,356.729092047058
14,2013,10.262385561553,192.006574043675,1527.5505049395,296.699955370626
15,2014,7.96508377041675,199.971657814092,1526.90176969165,250.108731582964
16,2015,9.01836102780531,208.990018841897,1526.16724776506,197.356433056615
17,2016,5.77214422997389,214.762163071871,1525.6971217092,163.59266216544
18,2017,4.51868824366032,219.280851315531,1525.32908636617,137.160898074146
19,2018,3.74320892630305,223.024060241834,1525.024211786,115.265248286117
20,2019,3.70767253534992,226.731732777184,1524.72223155196,93.5774662357322
21,2020,2.75701632360158,229.488749100786,1524.49767978081,77.4504839940331
22,2021,2.04987554540437,231.53862464619,1524.33072277718,65.4598743500378
23,2022,2.9562015259629,234.494826172153,1524.08994789208,48.1677716142047
