Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,31.82,31.82,3.18,3.18,0.0,0.0,0.0,0.0,31.82,3.18,1.0,1.0,0.0,0.0,20.66,0.97
2001,,2001,1548.37,1580.19,22.43,19.25,0.0,31.82,3.18,0.0,1548.37,19.25,1.0,1.0,2.07,245.15,143.3,0.98
2002,,2002,6792.57,8372.76,51.62,29.2,0.0,1580.19,22.43,0.0,6792.57,29.2,1.0,1.0,3.62,258.93,328.21,0.99
2003,,2003,10909.86,19282.62,78.34,26.72,0.0,8372.76,51.62,0.0,10909.86,26.72,1.0,1.0,3.28,273.54,496.19,0.99
2004,,2004,7001.17,26283.79,91.47,13.12,0.0,19282.62,78.34,0.0,7001.17,13.12,1.0,1.0,3.77,280.08,577.78,0.99
2005,,2005,8230.95,34514.74,104.82,13.35,0.0,26283.79,91.47,0.0,8230.95,13.35,1.0,1.0,2.52,292.93,661.67,1.0
2006,,2006,7787.81,42302.54,116.04,11.22,0.0,34514.74,104.82,0.0,7787.81,11.22,1.0,1.0,1.99,303.87,732.65,1.0
2007,,2007,10314.76,52617.3,129.42,13.38,0.0,42302.54,116.04,0.0,10314.76,13.38,1.0,1.0,2.99,349.32,816.34,1.0
2008,,2008,6640.09,59257.39,137.34,7.92,0.0,52617.3,129.42,0.0,6640.09,7.92,1.0,1.0,3.71,330.68,865.37,1.0
2009,,2009,6372.31,65629.71,144.54,7.2,0.0,59257.39,137.34,0.0,6372.31,7.2,1.0,1.0,4.3,328.81,911.28,1.0
2010,,2010,10715.7,76345.41,155.89,11.35,0.0,65629.71,144.54,0.0,10715.7,11.35,1.0,1.0,3.5,337.79,982.97,1.0
2011,,2011,8360.04,84705.45,164.2,8.31,0.0,76345.41,155.89,0.0,8360.04,8.31,1.0,1.0,2.22,345.25,1035.64,1.0
2012,,2012,6690.85,91396.3,170.56,6.36,0.0,84705.45,164.2,0.0,6690.85,6.36,1.0,1.0,2.86,353.3,1076.27,1.0
2013,,2013,8842.36,100238.66,178.63,8.06,0.0,91396.3,170.56,0.0,8842.36,8.06,1.0,1.0,3.3,355.95,1127.74,1.0
2014,,2014,11896.27,112134.93,188.93,10.3,0.0,100238.66,178.63,0.0,11896.27,10.3,1.0,1.0,3.31,358.26,1192.76,1.0
2015,,2015,10735.55,122870.48,197.76,8.84,0.0,112134.93,188.93,0.0,10735.55,8.84,1.0,1.0,3.37,0.64,1248.82,1.0
2016,,2016,6838.41,129708.89,203.19,5.43,0.0,122870.48,197.76,0.0,6838.41,5.43,1.0,1.0,3.69,358.15,1282.24,1.0
2017,,2017,7053.47,136762.36,208.65,5.45,0.0,129708.89,203.19,0.0,7053.47,5.45,1.0,1.0,4.45,7.58,1316.16,1.0
2018,,2018,4401.16,141163.52,211.98,3.33,0.0,136762.36,208.65,0.0,4401.16,3.33,1.0,1.0,5.33,17.8,1337.23,1.0
2019,,2019,5225.72,146389.24,215.86,3.89,0.0,141163.52,211.98,0.0,5225.72,3.89,1.0,1.0,6.41,21.48,1362.53,1.0
2020,,2020,3968.62,150357.86,218.77,2.91,0.0,146389.24,215.86,0.0,3968.62,2.91,1.0,1.0,6.81,22.41,1379.92,1.0
2021,,2021,3965.13,154322.99,221.64,2.87,0.0,150357.86,218.77,0.0,3965.13,2.87,1.0,1.0,7.02,26.71,1398.24,1.0
2022,,2022,3216.7,157539.69,223.93,2.3,0.0,154322.99,221.64,0.0,3216.7,2.3,1.0,1.0,6.91,32.36,1412.59,1.0
