,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,28.67460987458036,52.03534822236283,1897.4383858350504,1422.096563906296
4,2003,26.832737254216397,78.86808547657922,2062.4005524861877,1426.5151933701657
5,2004,13.472893065108906,92.34097854168813,2145.2291364663856,1428.7338161553496
6,2005,12.300182278353688,104.64116082004182,2220.848134991119,1430.759325044405
7,2006,11.77841586813048,116.4195766881723,2293.2594206127387,1432.698913052127
8,2007,12.107480275648117,128.52705696382043,2367.693726737917,1434.6926891090513
9,2008,8.217038392921477,136.7440953567419,2418.2103938937776,1436.0458141221548
10,2009,5.534376854229059,142.27847221097096,2452.234607983008,1436.9571769995448
11,2010,11.451306840416972,153.72977905138794,2522.634894375159,1438.8428989564775
12,2011,9.735904575542552,163.46568362693048,2582.489239381942,1440.4461403405878
13,2012,5.184663208337141,168.6503468352676,2614.363485684165,1441.2999147951116
14,2013,7.624554153023302,176.2749009882909,2661.23768122059,1442.5554736041229
15,2014,9.6936658032674,185.96856679155832,2720.832350916383,1444.1517593995459
16,2015,8.865687516572782,194.8342543081311,2775.3367798805198,1445.6116994610854
17,2016,5.787200543095969,200.62145485122707,2810.915302168019,1446.5646955937862
18,2017,4.013812961611707,204.63526781283878,2835.5914012333815,1447.225662533037
19,2018,2.8022920360817647,207.43755984892053,2852.8193180680173,1447.6871245911077
20,2019,3.792749392066202,211.23030924098674,2876.1363636363635,1448.3116883116884
21,2020,2.8904503375184203,214.12075957850516,2893.9062596315857,1448.787667668703
22,2021,2.2179868882324945,216.33874646673766,2907.5419882275996,1449.1529103989535
23,2022,3.179478474537363,219.51822494127504,2927.088769944695,1449.6764849092328
