Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,18.47,18.47,2.42,2.42,0.0,0.0,0.0,0.0,18.47,2.42,1.0,1.0,0.0,0.0,15.61,0.98
2001,,2001,870.72,889.19,16.82,14.4,0.0,18.47,2.42,0.0,870.72,14.4,1.0,1.0,0.65,169.15,106.38,0.99
2002,,2002,4794.97,5684.16,42.54,25.71,0.0,889.19,16.82,0.0,4794.97,25.71,1.0,1.0,1.66,65.01,268.43,1.0
2003,,2003,7596.54,13280.7,65.02,22.48,0.0,5684.16,42.54,0.0,7596.54,22.48,1.0,1.0,5.03,42.05,409.94,1.0
2004,,2004,6316.86,19597.55,78.98,13.96,0.0,13280.7,65.02,0.0,6316.86,13.96,1.0,1.0,5.67,41.75,497.74,1.0
2005,,2005,7030.6,26628.15,92.07,13.08,0.0,19597.55,78.98,0.0,7030.6,13.08,1.0,1.0,7.13,46.84,580.02,1.0
2006,,2006,5321.87,31950.02,100.85,8.78,0.0,26628.15,92.07,0.0,5321.87,8.78,1.0,1.0,7.79,51.15,635.25,1.0
2007,,2007,8681.92,40631.93,113.73,12.88,0.0,31950.02,100.85,0.0,8681.92,12.88,1.0,1.0,9.79,52.97,718.47,0.99
2008,,2008,5156.24,45788.17,120.73,7.0,0.0,40631.93,113.73,0.0,5156.24,7.0,1.0,1.0,10.75,52.96,761.4,1.0
2009,,2009,5149.27,50937.44,127.33,6.61,0.0,45788.17,120.73,0.0,5149.27,6.61,1.0,1.0,11.81,50.71,803.2,1.0
2010,,2010,8504.03,59441.47,137.55,10.22,0.0,50937.44,127.33,0.0,8504.03,10.22,1.0,1.0,14.14,53.27,867.2,1.0
2011,,2011,5363.97,64805.44,143.63,6.07,0.0,59441.47,137.55,0.0,5363.97,6.07,1.0,1.0,15.45,54.86,905.19,1.0
2012,,2012,6831.6,71637.04,151.01,7.38,0.0,64805.44,143.63,0.0,6831.6,7.38,1.0,1.0,17.01,54.23,951.4,1.0
2013,,2013,10919.23,82556.27,162.11,11.1,0.0,71637.04,151.01,0.0,10919.23,11.1,1.0,1.0,17.27,60.95,1022.71,1.0
2014,,2014,11109.07,93665.34,172.67,10.56,0.0,82556.27,162.11,0.0,11109.07,10.56,1.0,1.0,18.17,65.31,1091.08,0.99
2015,,2015,12245.4,105910.74,183.61,10.94,0.0,93665.34,172.67,0.0,12245.4,10.94,1.0,1.0,19.61,65.62,1159.04,1.0
2016,,2016,8398.59,114309.33,190.75,7.14,0.0,105910.74,183.61,0.0,8398.59,7.14,1.0,1.0,21.07,64.65,1203.58,1.0
2017,,2017,8320.71,122630.05,197.57,6.82,0.0,114309.33,190.75,0.0,8320.71,6.82,1.0,1.0,22.62,63.01,1246.91,1.0
2018,,2018,5130.2,127760.25,201.66,4.09,0.0,122630.05,197.57,0.0,5130.2,4.09,1.0,1.0,23.5,63.93,1272.09,1.0
2019,,2019,4835.12,132595.37,205.44,3.78,0.0,127760.25,201.66,0.0,4835.12,3.78,1.0,1.0,24.45,62.88,1296.0,1.0
2020,,2020,3390.17,135985.54,208.05,2.61,0.0,132595.37,205.44,0.0,3390.17,2.61,1.0,1.0,24.9,63.37,1312.58,1.0
2021,,2021,4114.86,140100.4,211.18,3.12,0.0,135985.54,208.05,0.0,4114.86,3.12,1.0,1.0,25.49,64.9,1333.33,1.0
2022,,2022,4056.07,144156.47,214.21,3.04,0.0,140100.4,211.18,0.0,4056.07,3.04,1.0,1.0,25.91,66.4,1352.79,0.99
