,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,27.156636398698716,49.259231213542996,1897.6031209423845,1420.6937562736584
4,2003,25.48167196288665,74.74090317642964,2063.1924387780864,1424.40349659177
5,2004,12.669404398151642,87.41030757458128,2145.522908879504,1426.2479674087058
6,2005,11.677925246827312,99.0882328214086,2221.4103811841037,1427.948094079481
7,2006,11.07736320760524,110.16559602901384,2293.3951794986433,1429.5607881354076
8,2007,11.501654087319947,121.66725011633379,2368.1371766907996,1431.235252430955
9,2008,7.727293610149363,129.39454372648316,2418.3519851807782,1432.3602277739076
10,2009,5.277603853261841,134.672147579745,2452.64780466788,1433.12856588869
11,2010,10.824532927602375,145.49668050734738,2522.9896184225813,1434.704451736555
12,2011,9.20080253017589,154.69748303752326,2582.779832217494,1436.0439473612882
13,2012,4.908989463541199,159.60647250106445,2614.680259226929,1436.7586208788111
14,2013,7.25710588225701,166.86357838332145,2661.839614164652,1437.815144105522
15,2014,9.114239760569088,175.97781814389054,2721.067311104704,1439.1420375196576
16,2015,8.404590438887848,184.3824085827784,2775.683444594331,1440.3656168850057
17,2016,5.473471539548047,189.85588012232645,2811.2520846642196,1441.1624703285265
18,2017,3.7566733168007,193.61255343912714,2835.664335664336,1441.7093843020525
19,2018,2.659303930702053,196.2718573698292,2852.9454750041764,1442.09653813655
20,2019,3.559073878502701,199.8309312483319,2876.0736518571903,1442.6146846648253
21,2020,2.8267183233177504,202.65764957164964,2894.4427117663517,1443.0262114652342
22,2021,2.050780702260956,204.7084302739106,2907.7694423675703,1443.3247736579294
23,2022,3.037616626889603,207.74604690080022,2927.5089973632407,1443.767004014248
