,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,31.058046526129743,54.66884442493841,1575.3987203668776,1066.758164133289
4,2003,22.080802316439918,76.74964674137833,1576.3051773306022,923.2358115435594
5,2004,12.526348129776917,89.27599487115525,1576.819406629409,841.8161725658122
6,2005,11.324834692250882,100.60082956340614,1577.2843116234715,768.2062151725751
7,2006,10.176387794752884,110.77721735815902,1577.7020707904583,702.0610137330004
8,2007,10.462424424552486,121.2396417827115,1578.1315722796328,634.056611280376
9,2008,8.412553011071534,129.65219479378302,1578.4769228312252,579.3761072782249
10,2009,7.3114084054560395,136.96360319923906,1578.7770694005746,531.8529004645804
11,2010,9.928296423654306,146.89189962289336,1579.1846439670314,467.3202607755709
12,2011,7.346116308473049,154.23801593136642,1579.4862153587192,419.57145709170993
13,2012,6.51831086248981,160.75632679385623,1579.7538038361824,377.2032814933442
14,2013,6.510782082768569,167.2671088766248,1580.0210832435898,334.8840419871656
15,2014,8.837579445910556,176.10468832253537,1580.383881900831,277.44092125729236
16,2015,9.090088292335315,185.19477661487068,1580.7570465039726,218.35652575989778
17,2016,6.226142143545396,191.42091875841606,1581.0126409258726,177.8874089590835
18,2017,4.033649341869641,195.4545681002857,1581.1782295436574,151.6692111431409
19,2018,2.1138216735923714,197.5683897738781,1581.2650057553476,137.9296442922
20,2019,3.130920976118324,200.6993107499964,1581.3935357372295,117.5790638275367
21,2020,2.0618713001961093,202.76118205019253,1581.478179291915,104.17716766903234
22,2021,2.0412832898098845,204.8024653400024,1581.5619776714514,90.9090909090909
23,2022,1.7415566237070084,206.5440219637094,1581.6334717279922,79.58919862344881
