,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2003,13.890831749514417,50.91250381209136,1146.1974163785176,1484.199677053736
4,2004,12.168667446315338,63.0811712584067,1065.2873274109784,1482.8325326933013
5,2005,9.564454480675117,72.64562573908182,1001.6927829490269,1481.7579704980917
6,2006,8.942811380513364,81.58843711959518,942.2315750879843,1480.7532496279357
7,2007,12.380247110486021,93.96868423008121,859.9146821686323,1479.362334386595
8,2008,7.883232829806297,101.85191705988751,807.4986660004373,1478.4766566940448
9,2009,7.78067304198683,109.63259010187434,755.7645750794868,1477.6025015479152
10,2010,11.477611792815889,121.11020189469023,679.4493503115681,1476.312996981944
11,2011,5.760808933758303,126.87101082844853,641.1454386127965,1475.6657726675255
12,2012,7.810395471413333,134.68140629986186,589.2137217463726,1474.7882782197057
13,2013,7.950522219177759,142.63192851903963,536.3502950046998,1473.8950405942705
14,2014,11.152745619570295,153.78467413860992,462.1951219512195,1472.6420345979752
15,2015,9.955012716521143,163.73968685513105,396.00373590832106,1471.523593359155
16,2016,6.166360914307135,169.9060477694382,355.0032884572224,1470.8308054605957
17,2017,4.837324045159623,174.74337181459782,322.83967476777167,1470.2873342615421
18,2018,3.239706518184431,177.98307833278224,301.2987012987013,1469.9233546791154
19,2019,1.8614618726815693,179.8445402054638,288.9217465998569,1469.7142202679213
20,2020,1.7410147056304004,181.5855549110942,277.34565124284194,1469.5186180422268
21,2021,2.080765760430313,183.66632067152452,263.51053383662145,1469.2848449370526
22,2022,1.8015246528438096,185.4678453243683,251.53210476196182,1469.0824444457758
