,label,Width [mm],Cumulative Width [mm],x [px],y [px]
0,Pith,0.0,0.0,1484.5412636104718,1494.0337274688327
1,1972,14.078703964462333,14.078703964462333,1491.6363175995884,1583.151509735424
2,1973,26.528008719973837,40.60671268443617,1491.124305206764,1751.6035869747195
3,1974,13.7954680674362,54.402180751872365,1490.8580413235638,1839.2044045475166
4,1975,15.766065387042945,70.16824613891531,1490.5537432908898,1939.3184572972912
5,1976,14.01109894172391,84.17934508063922,1490.283317554417,2028.2885245968248
6,1977,9.948847537289437,94.12819261792866,1490.0912966120543,2091.4634146341464
7,1978,14.339377137790477,108.46756975571914,1489.814534836324,2182.518038849486
8,1979,8.75930328255498,117.22687303827412,1489.6454730767127,2238.139357761538
9,1980,8.136026500241861,125.36289953851599,1489.4884410717686,2289.8028873881617
10,1981,10.403303235916622,135.7662027744326,1489.2876487605429,2355.863557781449
11,1982,6.800894911278365,142.56709768571096,1489.1563858936752,2399.0490409808876
12,1983,7.733724698873673,150.30082238458465,1489.0071186444702,2448.1579659693366
13,1984,11.72900283333193,162.02982521791657,1488.7807392403645,2522.6367899201414
14,1985,10.136233638024123,172.1660588559407,1488.5851015920955,2587.0015762006274
15,1986,11.221928697643524,183.38798755358422,1488.368509135977,2658.2604942635576
16,1987,8.63441480936254,192.02240236294676,1488.201857826644,2713.0887750341276
17,1988,6.886160623589244,198.908562986536,1488.068949261381,2756.815693005685
18,1989,3.926563980780331,202.83512696731634,1487.9931633461772,2781.749259107743
19,1990,2.9566205048460725,205.79174747216243,1487.9360981380291,2800.5237125884755
20,1991,2.4034401174187376,208.19518758958117,1487.8897097664585,2815.7854868352024
21,1992,3.184522488145019,211.37971007772617,1487.8282458625383,2836.0071112249507
22,1993,3.1557442582430464,214.5354543359692,1487.767337402131,2856.0459946989586
