Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
1971,,1971,1.19,1.19,0.61,0.61,0.0,0.0,0.0,0.0,1.19,0.61,1.0,1.0,0.0,0.0,4.36,0.89
1972,,1972,619.95,621.14,14.06,13.45,0.0,1.19,0.61,0.0,619.95,13.45,1.0,1.0,1.12,189.72,88.73,1.0
1973,,1973,4505.76,5126.9,40.4,26.34,0.0,621.14,14.06,0.0,4505.76,26.34,1.0,1.0,2.21,228.18,255.41,0.99
1974,,1974,5379.79,10506.69,57.83,17.43,0.0,5126.9,40.4,0.0,5379.79,17.43,1.0,1.0,4.93,223.83,365.15,1.0
1975,,1975,6110.72,16617.41,72.73,14.9,0.0,10506.69,57.83,0.0,6110.72,14.9,1.0,1.0,6.22,220.67,459.7,0.99
1976,,1976,6700.72,23318.13,86.15,13.42,0.0,16617.41,72.73,0.0,6700.72,13.42,1.0,1.0,7.84,213.35,544.06,0.99
1977,,1977,6016.05,29334.18,96.63,10.48,0.0,23318.13,86.15,0.0,6016.05,10.48,1.0,1.0,8.98,212.33,611.2,0.99
1978,,1978,9023.44,38357.62,110.5,13.87,0.0,29334.18,96.63,0.0,9023.44,13.87,1.0,1.0,9.44,208.79,699.87,0.99
1979,,1979,6383.05,44740.67,119.34,8.84,0.0,38357.62,110.5,0.0,6383.05,8.84,1.0,1.0,9.66,210.56,754.29,0.99
1980,,1980,6095.4,50836.08,127.21,7.87,0.0,44740.67,119.34,0.0,6095.4,7.87,1.0,1.0,9.66,211.99,802.69,1.0
1981,,1981,9308.13,60144.21,138.36,11.16,0.0,50836.08,127.21,0.0,9308.13,11.16,1.0,1.0,10.15,208.27,872.91,1.0
1982,,1982,6364.38,66508.59,145.5,7.14,0.0,60144.21,138.36,0.0,6364.38,7.14,1.0,1.0,10.56,207.54,917.54,1.0
1983,,1983,8541.43,75050.01,154.56,9.06,0.0,66508.59,145.5,0.0,8541.43,9.06,1.0,1.0,11.68,206.23,975.69,1.0
1984,,1984,10914.41,85964.43,165.42,10.86,0.0,75050.01,154.56,0.0,10914.41,10.86,1.0,1.0,12.74,201.05,1044.69,0.99
1985,,1985,12114.39,98078.82,176.69,11.27,0.0,85964.43,165.42,0.0,12114.39,11.27,1.0,1.0,13.68,201.94,1116.36,0.99
1986,,1986,10879.19,108958.02,186.23,9.54,0.0,98078.82,176.69,0.0,10879.19,9.54,1.0,1.0,14.17,199.97,1175.61,1.0
1987,,1987,8529.76,117487.77,193.38,7.15,0.0,108958.02,186.23,0.0,8529.76,7.15,1.0,1.0,13.87,199.56,1219.19,1.0
1988,,1988,7380.61,124868.38,199.37,5.98,0.0,117487.77,193.38,0.0,7380.61,5.98,1.0,1.0,13.78,196.44,1257.01,1.0
1989,,1989,5196.42,130064.8,203.47,4.11,0.0,124868.38,199.37,0.0,5196.42,4.11,1.0,1.0,14.3,192.03,1282.34,1.0
1990,,1990,4585.7,134650.5,207.03,3.56,0.0,130064.8,203.47,0.0,4585.7,3.56,1.0,1.0,14.78,189.36,1304.77,1.0
1991,,1991,3005.79,137656.29,209.33,2.3,0.0,134650.5,207.03,0.0,3005.79,2.3,1.0,1.0,15.21,187.76,1319.1,1.0
1992,,1992,3727.46,141383.76,212.14,2.82,0.0,137656.29,209.33,0.0,3727.46,2.82,1.0,1.0,16.26,185.31,1337.03,1.0
1993,,1993,3671.16,145054.92,214.88,2.74,0.0,141383.76,212.14,0.0,3671.16,2.74,1.0,1.0,17.25,182.22,1354.98,1.0
