,label,Width [mm],Cumulative Width [mm],x [px],y [px]
0,Pith,0.0,0.0,1484.5412636104718,1494.0337274688327
1,1971,0.7116851646120929,0.7116851646120929,1486.3530538302277,1489.8936076604555
2,1972,12.799441710457591,13.511126875069683,1405.0886766053939,1488.4924977083033
3,1973,26.226796772756916,39.7379236478266,1238.57326487466,1485.6215423336355
4,1974,14.55038100602554,54.28830465385214,1146.1920753206944,1484.0287632033946
5,1975,12.744756657314069,67.03306131116621,1065.2748965821495,1482.6336394320404
6,1976,10.019222742887258,77.05228405405347,1001.6622863686595,1481.5368702904286
7,1977,9.366731976429277,86.41901603048275,942.1923768276401,1480.5115270224799
8,1978,12.973761398666042,99.3927774291488,859.8212340718759,1479.0913349060013
9,1979,8.247641049256075,107.64041847840487,807.4564959369179,1478.1884945933296
10,1980,8.148363288786179,115.78878176719104,755.7220779018023,1477.296521868586
11,1981,12.020548286607314,127.80933005379835,679.4029389495093,1475.9806746452707
12,1982,6.028558746303377,133.83788880010172,641.1272794977851,1475.32074948231
13,1983,8.182722767885194,142.02061156798692,589.1747111922191,1474.4250155460072
14,1984,8.325624710518507,150.34623627850542,536.3148503941354,1473.5136386356953
15,1985,11.674132949734018,162.02036922823945,462.1951219512195,1472.2357122832314
16,1986,10.43602677232736,172.4563960005668,395.936199449782,1471.0933170676892
17,1987,6.453590143271887,178.9099861438387,354.96199168970253,1470.386865209757
18,1988,5.062432139885074,183.97241828372375,322.8203245453755,1469.8326985348547
19,1989,3.3897357202173373,187.3621540039411,301.2987012987013,1469.4616360650843
20,1990,1.9475353513774212,189.3096893553185,288.9336895244982,1469.2484462069085
21,1991,1.8234774920124466,191.13316684733095,277.35632809545854,1469.0488365270974
22,1992,2.182322402168584,193.31548924949954,263.50064009532207,1468.8099453546813
23,1993,1.8883235623665726,195.2038128118661,251.51156730870807,1468.603237203188
