,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,1974,19.4067503700088,60.82470333574883,1482.3809523809523,1107.8220451527225
4,1975,13.994765249557743,74.81946858530657,1482.3809523809523,1018.9552858180308
5,1976,13.900337621196035,88.7198062065026,1482.3809523809523,930.688141923436
6,1977,10.93272439785619,99.65253060435879,1482.3809523809523,861.2653419970492
7,1978,13.016061067325168,112.66859167168396,1482.3809523809523,778.6133542195344
8,1979,8.899578099196232,121.56816977088019,1482.3809523809523,722.1010332896383
9,1980,8.188952427605216,129.7571221984854,1482.3809523809523,670.1011853743452
10,1981,12.540937023582297,142.2980592220677,1482.3809523809523,590.4662352745976
11,1982,7.296466782323732,149.59452600439144,1482.3809523809523,544.1336712068419
12,1983,10.073844881401095,159.66837088579254,1482.3809523809523,480.1647562099449
13,1984,10.808744351485812,170.47711523727835,1482.3809523809523,411.52922957801
14,1985,12.049487015647111,182.52660225292547,1482.3809523809523,335.01498702865086
15,1986,9.096902999104914,191.62350525203038,1482.3809523809523,277.24965298433466
16,1987,8.307312166347495,199.93081741837787,1482.3809523809523,224.49822072802806
17,1988,5.714976464587336,205.6457938829652,1482.3809523809523,188.20812017789848
18,1989,3.7638072236148274,209.40960110658003,1482.3809523809523,164.30794430794433
19,1990,2.9997964982834624,212.4093976048635,1482.3809523809523,145.25923654384434
20,1991,2.423481365939288,214.8328789708028,1482.3809523809523,129.87012987012986
21,1992,1.3899236621396345,216.22280263294243,1482.3809523809523,121.04411461554318
22,1993,1.7841630480959643,218.0069656810384,1482.3809523809523,109.7146792601338
