,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,23.473521046565494,40.73753764626936,1900.3791081478914,1319.0813219037723
4,2003,19.953004878657488,60.69054252492685,2026.7258081692355,1294.598701677676
5,2004,13.247029157672426,73.93757168259927,2110.6088337755045,1278.3444088549331
6,2005,12.491704365039185,86.42927604763845,2189.7089810346833,1263.0169102748546
7,2006,8.070349401310793,94.49962544894925,2240.812161787449,1253.114476997973
8,2007,12.074843679112703,106.57446912806195,2317.272657908579,1238.2984723970117
9,2008,5.743807092492248,112.3182762205542,2353.6436745102856,1231.2507395591442
10,2009,5.567164977417812,117.88544119797201,2388.8961554097173,1224.4197491039704
11,2010,8.276146256724438,126.16158745469644,2441.3024859243565,1214.2648001641371
12,2011,8.241491658198473,134.40307911289491,2493.4893760995105,1204.1523729086293
13,2012,5.593738145835666,139.99681725873057,2528.910123992266,1197.2887767985915
14,2013,9.795063053833113,149.79188031256368,2590.934560956974,1185.2700953871429
15,2014,11.004042493907054,160.79592280647074,2660.6145146509134,1171.7679790408317
16,2015,9.100692112577727,169.89661491904846,2718.2420461093147,1160.6013006311453
17,2016,6.329002583192673,176.22561750224114,2758.3186458834316,1152.8355246191309
18,2017,6.525125739078479,182.7507432413196,2799.637139482295,1144.8291027108064
19,2018,3.437328091638205,186.1880713329578,2821.403037095726,1140.6114523482747
20,2019,1.6343073971965443,187.82237873015436,2831.7518215375685,1138.606133972341
21,2020,1.7310153229722485,189.5533940531266,2842.7129812763637,1136.4821535986775
22,2021,1.2725008606602202,190.8258949137868,2850.770729244476,1134.9207769790462
23,2022,2.0401966566959575,192.86609157048278,2863.689691402594,1132.4174267199649
