,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,26.591008924640946,41.282929581251715,1547.2911448368022,1681.7485305415428
4,2003,18.739441380787415,60.02237096203913,1548.4973323427378,1800.73786994286
5,2004,11.135873662649953,71.15824462468909,1549.2141067335333,1871.4470348453822
6,2005,11.852733658737288,83.01097828342638,1549.9770227116483,1946.7080268618713
7,2006,11.27494081876204,94.28591910218842,1550.7027483333145,2018.3002228378364
8,2007,14.81517430579841,109.10109340798682,1551.656345496794,2112.3717465263535
9,2008,6.572162004065959,115.67325541205278,1552.0793708973492,2154.1028312162102
10,2009,7.53675187451286,123.21000728656564,1552.5644833274184,2201.958746905317
11,2010,10.839882608721403,134.04988989528704,1553.2622058850318,2270.7884651765344
12,2011,9.86789335815399,143.91778325344103,1553.897365142805,2333.4463687986354
13,2012,10.378337605151168,154.2961208585922,1554.56537978088,2399.3454268669766
14,2013,12.803958190619662,167.10007904921184,1555.3895225118304,2480.6463843430047
15,2014,13.973194178669099,181.07327322788095,1556.2889245747756,2569.37160890337
16,2015,13.202319072618234,194.27559230049917,1557.1387083005109,2653.2020280228458
17,2016,8.026339697019347,202.30193199751852,1557.6553336611187,2704.166666666667
18,2017,8.23587138006682,210.53780337758533,1558.185445789718,2756.461763142333
19,2018,6.284964235693717,216.82276761327904,1558.5899853478777,2796.3692356955344
20,2019,5.09416768412904,221.9169352974081,1558.9178778014937,2828.715538619778
21,2020,1.8005131942968864,223.71744849170497,1559.0337700778482,2840.1482100222665
22,2021,3.394401011946399,227.11184950365137,1559.2522549306007,2861.7015490929157
23,2022,6.383978378790631,233.495827882442,1559.6631676575164,2902.2377291534053
