Annual Ring (label),EW/LW label,Year,Ring Area [mm2],Cumulative Area [mm2],Cumulative Annual Radius [mm],Annual Ring Width [mm],Area EW [mm2],Cumulative R(n-1) + EW(n) Area [mm2],Cumulative EW Radius [mm],EW Width [mm],Area LW [mm2],LW Width [mm],Area LW/(LW +EW) (-),Width LW/(LW +EW) (-),Eccentricity Module [mm],Eccentricity Phase [°],Perimeter [mm],Ring Similarity Factor [0-1]
2000,,2000,19.86,19.86,2.51,2.51,0.0,0.0,0.0,0.0,19.86,2.51,1.0,1.0,0.0,0.0,16.41,0.96
2001,,2001,718.6,738.46,15.33,12.82,0.0,19.86,2.51,0.0,718.6,12.82,1.0,1.0,0.96,183.66,97.13,0.99
2002,,2002,4458.92,5197.39,40.67,25.34,0.0,738.46,15.33,0.0,4458.92,25.34,1.0,1.0,2.24,175.66,256.57,1.0
2003,,2003,6764.87,11962.25,61.71,21.03,0.0,5197.39,40.67,0.0,6764.87,21.03,1.0,1.0,2.79,194.49,389.67,0.99
2004,,2004,5665.75,17628.0,74.91,13.2,0.0,11962.25,61.71,0.0,5665.75,13.2,1.0,1.0,3.44,234.17,472.98,1.0
2005,,2005,5591.61,23219.62,85.97,11.06,0.0,17628.0,74.91,0.0,5591.61,11.06,1.0,1.0,4.3,246.81,542.68,1.0
2006,,2006,7127.4,30347.02,98.28,12.31,0.0,23219.62,85.97,0.0,7127.4,12.31,1.0,1.0,5.23,245.28,619.19,1.0
2007,,2007,9683.38,40030.4,112.88,14.6,0.0,30347.02,98.28,0.0,9683.38,14.6,1.0,1.0,5.41,249.39,711.9,1.0
2008,,2008,6129.65,46160.04,121.22,8.33,0.0,40030.4,112.88,0.0,6129.65,8.33,1.0,1.0,6.61,250.4,763.98,1.0
2009,,2009,5822.58,51982.62,128.63,7.42,0.0,46160.04,121.22,0.0,5822.58,7.42,1.0,1.0,7.16,250.42,809.84,1.0
2010,,2010,9152.93,61135.55,139.5,10.87,0.0,51982.62,128.63,0.0,9152.93,10.87,1.0,1.0,8.13,243.88,879.67,1.0
2011,,2011,7417.8,68553.35,147.72,8.22,0.0,61135.55,139.5,0.0,7417.8,8.22,1.0,1.0,8.07,244.12,930.65,1.0
2012,,2012,9212.4,77765.75,157.33,9.61,0.0,68553.35,147.72,0.0,9212.4,9.61,1.0,1.0,7.64,239.94,992.27,1.0
2013,,2013,10820.22,88585.97,167.92,10.59,0.0,77765.75,157.33,0.0,10820.22,10.59,1.0,1.0,7.5,229.83,1060.96,0.99
2014,,2014,11726.47,100312.44,178.69,10.77,0.0,88585.97,167.92,0.0,11726.47,10.77,1.0,1.0,5.97,224.41,1128.67,0.99
2015,,2015,11921.05,112233.49,189.01,10.32,0.0,100312.44,178.69,0.0,11921.05,10.32,1.0,1.0,5.2,211.8,1195.35,0.99
2016,,2016,8025.86,120259.35,195.65,6.64,0.0,112233.49,189.01,0.0,8025.86,6.64,1.0,1.0,5.03,192.43,1235.35,1.0
2017,,2017,7720.79,127980.14,201.83,6.18,0.0,120259.35,195.65,0.0,7720.79,6.18,1.0,1.0,5.06,172.95,1273.41,1.0
2018,,2018,5912.99,133893.13,206.44,4.61,0.0,127980.14,201.83,0.0,5912.99,4.61,1.0,1.0,6.67,158.32,1301.96,1.0
2019,,2019,5941.31,139834.45,210.98,4.53,0.0,133893.13,206.44,0.0,5941.31,4.53,1.0,1.0,7.1,156.04,1330.78,1.0
2020,,2020,3673.5,143507.95,213.73,2.75,0.0,139834.45,210.98,0.0,3673.5,2.75,1.0,1.0,7.05,156.07,1348.07,1.0
2021,,2021,4221.07,147729.01,216.85,3.12,0.0,143507.95,213.73,0.0,4221.07,3.12,1.0,1.0,7.37,150.54,1367.33,1.0
2022,,2022,4298.02,152027.03,219.98,3.13,0.0,147729.01,216.85,0.0,4298.02,3.13,1.0,1.0,7.93,142.2,1388.49,1.0
