,label,Width [mm],Cumulative Width [mm],x [px],y [px]
3,2002,25.26735700682118,40.51271966226741,1539.8459961264766,1162.7788574195374
4,2003,22.62955822843026,63.14227789069767,1540.0188258426624,1019.081266602898
5,2004,15.089266830802073,78.23154472149974,1540.134067761108,923.2644915298615
6,2005,11.742124585421418,89.97366930692117,1540.2237464034852,848.7020543421104
7,2006,13.596340748991901,103.57001005591307,1540.3275863321792,762.365353031801
8,2007,15.125280344181222,118.6952904000943,1540.443103298208,666.3198923142111
9,2008,9.974105935364138,128.66939633545843,1540.5192789743135,602.9843654341006
10,2009,8.540878158135433,137.21027449359386,1540.5845085971434,548.7498283568095
11,2010,9.590118768268722,146.80039326186258,1540.6577516312398,487.85261822416413
12,2011,10.399488174466489,157.19988143632906,1540.7371760977508,421.8159160794654
13,2012,10.406503339553943,167.60638477588301,1540.8166541414892,355.73466766868086
14,2013,9.602660199506916,177.20904497538993,1540.8899929588076,294.7578195052737
15,2014,7.227941041153272,184.4369860165432,1540.9451952294903,248.860427090712
16,2015,8.305639982402816,192.742625998946,1541.0086282574978,196.11965134891224
17,2016,5.275034053015776,198.0176600519618,1541.0489155061064,162.6232093396384
18,2017,4.366532038959767,202.38419209092157,1541.0822642124926,134.89575094701775
19,2018,3.42849581906142,205.812687909983,1541.1084488137726,113.12481824250328
20,2019,3.4034361245185263,209.21612403450152,1541.13444202555,91.51301448324108
21,2020,2.289333684217218,211.50545771871873,1541.1519264539645,76.97575610300026
22,2021,2.0732281640457333,213.57868588276446,1541.167760410225,63.810766783310754
23,2022,2.7906817955303724,216.36936767829482,1541.189073806528,46.08995019884202
